Municipios	Distritos	Secciones	Indicadores de renta media y mediana	Periodo	Total
28079 Madrid			Renta neta media por persona 	2021	17.586
28079 Madrid	2807901 Madrid distrito 01		Renta neta media por persona 	2021	19.199
28079 Madrid	2807902 Madrid distrito 02		Renta neta media por persona 	2021	20.103
28079 Madrid	2807903 Madrid distrito 03		Renta neta media por persona 	2021	23.925
28079 Madrid	2807904 Madrid distrito 04		Renta neta media por persona 	2021	25.956
28079 Madrid	2807905 Madrid distrito 05		Renta neta media por persona 	2021	28.233
28079 Madrid	2807906 Madrid distrito 06		Renta neta media por persona 	2021	17.026
28079 Madrid	2807907 Madrid distrito 07		Renta neta media por persona 	2021	25.275
28079 Madrid	2807908 Madrid distrito 08		Renta neta media por persona 	2021	20.671
28079 Madrid	2807909 Madrid distrito 09		Renta neta media por persona 	2021	24.659
28079 Madrid	2807910 Madrid distrito 10		Renta neta media por persona 	2021	13.719
28079 Madrid	2807911 Madrid distrito 11		Renta neta media por persona 	2021	12.275
28079 Madrid	2807912 Madrid distrito 12		Renta neta media por persona 	2021	10.797
28079 Madrid	2807913 Madrid distrito 13		Renta neta media por persona 	2021	10.941
28079 Madrid	2807914 Madrid distrito 14		Renta neta media por persona 	2021	15.667
28079 Madrid	2807915 Madrid distrito 15		Renta neta media por persona 	2021	16.890
28079 Madrid	2807916 Madrid distrito 16		Renta neta media por persona 	2021	20.500
28079 Madrid	2807917 Madrid distrito 17		Renta neta media por persona 	2021	11.059
28079 Madrid	2807918 Madrid distrito 18		Renta neta media por persona 	2021	13.605
28079 Madrid	2807919 Madrid distrito 19		Renta neta media por persona 	2021	13.849
28079 Madrid	2807920 Madrid distrito 20		Renta neta media por persona 	2021	15.115
28079 Madrid	2807921 Madrid distrito 21		Renta neta media por persona 	2021	19.482
